No,Rank,Total Score,Class,Total POI in Grid,[Raw] PUSAT PERBELANJAAN,[Raw] RESTORAN,[Raw] NEGERI,[Raw] KERETA API,[Raw] RUMAH SAKIT UMUM DAERAH/NEGERI,[Raw] USIA 25-29,[Raw] USIA 30-34,[Raw] S1,[Raw] WIRASWASTA,[Raw] PERDAGANGAN,[Normalized] PUSAT PERBELANJAAN,[Normalized] RESTORAN,[Normalized] NEGERI,[Normalized] KERETA API,[Normalized] RUMAH SAKIT UMUM DAERAH/NEGERI,[Normalized] USIA 25-29,[Normalized] USIA 30-34,[Normalized] S1,[Normalized] WIRASWASTA,[Normalized] PERDAGANGAN,[Final] PUSAT PERBELANJAAN,[Final] RESTORAN,[Final] NEGERI,[Final] KERETA API,[Final] RUMAH SAKIT UMUM DAERAH/NEGERI,[Final] USIA 25-29,[Final] USIA 30-34,[Final] S1,[Final] WIRASWASTA,[Final] PERDAGANGAN,ID_GRID
46,46,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,45
47,47,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,46
48,48,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,47
49,49,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,48
50,50,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,49
51,51,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,50
52,52,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,51
53,53,100.0,Sangat Sesuai,0,0,0,0,0,0,3422,3152,6325,3161,99,0.0,0,0,0,0.0,1.0,1.0,1.0,1.0,0.6265822784810127,0.0,0,0.0,0.0,0.0,0.10256410256410256,0.10256410256410256,0.1282051282051282,0.10256410256410256,0.048198636806231744,52
54,54,93.24409316612491,Sangat Sesuai,1,0,0,0,1,0,2961,2774,3189,2296,22,0.0,0,0,1,0.0,0.8582846603135568,0.8747099767981439,0.4880835781913157,0.7107990638582414,0.13924050632911392,0.0,0,0.0,0.1282051282051282,0.0,0.08802919592959556,0.0897138437741686,0.06257481771683535,0.07290246808802477,0.010710808179162609,53
55,55,88.34335029899634,Sangat Sesuai,2,0,0,0,0,2,2450,2372,2018,2105,152,0.0,0,0,0,1.0,0.7011988933292346,0.7414650314882334,0.2969311132876265,0.6469408224674023,0.9620253164556962,0.0,0,0.0,0.0,0.10256410256410256,0.07191783521325483,0.07604769553725471,0.0380680914471316,0.06635290486845151,0.07400194741966895,54
56,56,77.50296195117234,Sesuai,1,0,0,0,0,1,2450,2372,2018,2105,152,0.0,0,0,0,0.5,0.7011988933292346,0.7414650314882334,0.2969311132876265,0.6469408224674023,0.9620253164556962,0.0,0,0.0,0.0,0.05128205128205128,0.07191783521325483,0.07604769553725471,0.0380680914471316,0.06635290486845151,0.07400194741966895,55
57,57,76.76311595455887,Sesuai,1,0,0,0,0,1,2213,2253,5063,1957,48,0.0,0,0,0,0.5,0.6283430679372887,0.7020218760357971,0.7939928174991838,0.5974590437980608,0.3037974683544304,0.0,0,0.0,0.0,0.05128205128205128,0.06444544286536294,0.07200224369597918,0.10179395096143382,0.06127785064595495,0.023369036027263878,56
58,58,76.76311595455887,Sesuai,1,1,0,0,0,0,2213,2253,5063,1957,48,0.5,0,0,0,0.0,0.6283430679372887,0.7020218760357971,0.7939928174991838,0.5974590437980608,0.3037974683544304,0.05128205128205128,0,0.0,0.0,0.0,0.06444544286536294,0.07200224369597918,0.10179395096143382,0.06127785064595495,0.023369036027263878,57
59,59,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,58
60,60,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,59
61,61,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,60
62,62,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,61
63,63,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,62
64,64,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,63
65,65,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,64
66,66,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,65
67,67,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,66
68,68,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,67
69,69,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,68
70,70,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,69
71,71,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,70
72,72,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,71
73,73,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,72
74,74,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,73
75,75,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,74
76,76,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,75
77,77,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,76
78,78,71.0171349800674,Sesuai,0,0,0,0,0,0,2110,2317,5867,2030,60,0.0,0,0,0,0.0,0.5966799877036582,0.7232350016572754,0.9252366960496246,0.6218655967903711,0.379746835443038,0.0,0,0.0,0.0,0.0,0.06119794745678545,0.07417794888792568,0.11862008923713134,0.06378108685029447,0.02921129503407985,77
